用户ID,兴趣类别,观看视频数,点赞视频数
1,"CAT_164, CAT_195, CAT_011, CAT_027",89,40
2,"CAT_037, CAT_129, CAT_097, CAT_079, CAT_101",121,56
3,"CAT_105, CAT_079, CAT_102, CAT_139, CAT_067, CAT_173",123,58
4,"CAT_200, CAT_090, CAT_159, CAT_173",136,50
5,"CAT_164, CAT_203, CAT_136, CAT_097, CAT_023",114,52
6,"CAT_028, CAT_004, CAT_153, CAT_043, CAT_005",121,48
7,"CAT_188, CAT_129, CAT_102, CAT_002, CAT_132, CAT_151",116,39
8,"CAT_063, CAT_093, CAT_057, CAT_125",101,39
9,"CAT_190, CAT_197, CAT_081, CAT_220, CAT_125",110,45
10,"CAT_047, CAT_057, CAT_115, CAT_011, CAT_124",121,50
11,"CAT_217, CAT_094, CAT_115, CAT_129, CAT_142",152,55
12,"CAT_189, CAT_135, CAT_191, CAT_173",128,45
13,"CAT_086, CAT_103, CAT_110, CAT_200, CAT_218, CAT_173",115,44
14,"CAT_005, CAT_071, CAT_078, CAT_141, CAT_195",112,50
15,"CAT_058, CAT_024, CAT_034, CAT_031",104,45
16,"CAT_191, CAT_028, CAT_082, CAT_193",127,46
17,"CAT_042, CAT_090, CAT_165, CAT_115, CAT_201",104,47
18,"CAT_115, CAT_129, CAT_200, CAT_219, CAT_052, CAT_079",144,60
19,"CAT_043, CAT_014, CAT_207, CAT_094",123,50
20,"CAT_044, CAT_003, CAT_015, CAT_088, CAT_093, CAT_065",100,46
21,"CAT_138, CAT_096, CAT_054, CAT_112",115,47
22,"CAT_161, CAT_106, CAT_077, CAT_207, CAT_037",114,45
23,"CAT_194, CAT_111, CAT_144, CAT_014",137,56
24,"CAT_100, CAT_156, CAT_070, CAT_207",136,54
25,"CAT_136, CAT_090, CAT_032, CAT_191, CAT_156",121,43
26,"CAT_042, CAT_149, CAT_053, CAT_135, CAT_185, CAT_109",116,41
27,"CAT_143, CAT_107, CAT_060, CAT_106, CAT_165, CAT_069",116,52
28,"CAT_073, CAT_013, CAT_198, CAT_098",104,43
29,"CAT_007, CAT_049, CAT_182, CAT_208",113,50
30,"CAT_062, CAT_162, CAT_192, CAT_016, CAT_160, CAT_074",102,38
31,"CAT_140, CAT_144, CAT_157, CAT_171, CAT_062, CAT_184",144,56
32,"CAT_023, CAT_203, CAT_104, CAT_217, CAT_062",127,49
33,"CAT_095, CAT_220, CAT_098, CAT_219",99,31
34,"CAT_080, CAT_030, CAT_035, CAT_209, CAT_196",127,61
